PC,cell_type_compound,cell_type,compound,cell_id,compound_cell_id,all_cells - chanel_3 Gabor Max 2 px w2 - Mean per Well,all_cells - chanel_2 Area,all_cells - chanel_3 SER Ridge 1 px - Mean per Well,all_cells - chanel_3_intensity Mean - Mean per Well,spotschan3_intensitymean_div_chan2area,chan3_intensitymean_div_chan2area,all_cells - chanel_1 Area,ir_chanel_3_at - Intensity ir_chanel_3_at chanel_3 Mean - Mean per Well,spots_chanel_3_final - Region Intensity - Mean per Well,spots_chanel_3_final - Spot to Region Intensity - Mean per Well,spots_chanel_3_final - Corrected Spot Intensity - Mean per Well
24s,E_UT,E,UT,657.0,UT_657.0,-0.5524623531165859,2.4367770016630965,-0.9704669676480462,1.7228959693754924,-28.13208329951757,-6.550088443055504,0.6231717247440983,4.896120628879101,0.6807740509789754,0.2392332673987555,0.7696648976124802
24s,E_T,E,T,657.0,T_657.0,-0.5542086605109576,2.4427456534067438,-0.9735126016769272,1.5666456415243732,-30.25606452071577,-6.85943932966475,0.6231603173622937,4.973916368775318,0.6808657126435621,0.262084586820051,0.7699484467406913
24s,E_T,E,T,657.0,T_657.0,-0.5531678469530351,2.445540152132866,-0.9726657615274076,1.4458424798722616,-35.55331644539176,-7.058697010827543,0.6231862149197824,4.880088827890726,0.6804815388480557,0.2697937342604218,0.7689179021532783
24s,E_UT,E,UT,657.0,UT_657.0,-0.5570355589403267,2.442675925857483,-0.9785720782717806,1.3234267542548617,-32.47572773984342,-7.11684360582908,0.6231786202574813,4.878582986833441,0.6806333124655907,0.2534333380820388,0.7692975140955037
24s,E_T,E,T,657.0,T_657.0,-0.5539608371466416,2.438835450706948,-0.9758161719530524,1.1771033452290556,-33.05898233556343,-7.179669942253924,0.6231698479768845,4.3122503126756895,0.6802731635800147,0.3305944016829076,0.7684194990654736
24s,PC2_UT,PC2,UT,1.0,UT_1.0,-0.55305419653142,2.4476589973572147,-0.9730100119691416,1.498055323721038,-30.516604531934,-7.058190135518347,0.6232030463289618,4.892841096950512,0.6811257881459956,0.2324537354398231,0.7706049897281437
24s,PC2_T,PC2,T,1.0,T_1.0,-0.5499140158707727,2.4341416290411093,-0.9723473790837932,1.132412545672579,-32.902662738377366,-7.115839340974016,0.6232122707369084,4.723379902508067,0.6799683100303754,0.3157729833109267,0.7675434711004594
24s,PC2_UT,PC2,UT,1.0,UT_1.0,-0.5522840219394554,2.4450081003044453,-0.9755762415364516,1.0170652564867135,-40.378842394858175,-7.509703566055943,0.6232010606317965,4.69368960370897,0.679886669500091,0.2903174316397163,0.7673575192327673
24s,PC2_T,PC2,T,1.0,T_1.0,-0.5504491073704444,2.4404506998819846,-0.9756431814750132,0.6957310760287193,-39.898111146256326,-7.7515758067659615,0.6231901982726533,4.569714454257785,0.6795272410563492,0.2999535970443901,0.7664265940591207
24s,PC2_UT,PC2,UT,1.0,UT_1.0,-0.5522036365663368,2.4474258343747888,-0.9782802339392772,0.497923147118594,-47.51482053208557,-8.156763563268346,0.6231979663581482,4.546711554782767,0.6792582108903946,0.3018357039813066,0.7657045012918631
24s,PC2_T,PC2,T,1.0,T_1.0,-0.5512521851789082,2.4458409064916973,-0.9779788528089476,0.4259146122289671,-47.15043922263267,-8.197437969338191,0.6232101720932605,4.529413900388776,0.6791289038101467,0.296699865948814,0.7653694177043644
24s,PC2_UT,PC2,UT,1.0,UT_1.0,-0.5539025609817829,2.442247107572367,-0.9814624723703904,0.1095748505992607,-47.34052697555171,-8.472603159781144,0.6232065228529272,4.383828671472384,0.6786645392166494,0.3396621841586353,0.76421773276981
